tanggal_rilis,jam_rilis,judul_berita,link
2014-07-01T00:00:00Z,1899-12-31T04:43:24Z,"Peminat Tinggi, Bus Amari Ditambah","https://beritajakarta.com/read/3238/Peminat_Tinggi,_Bus_Amari_Ditambah_"
2014-07-01T00:00:00Z,1899-12-31T09:52:23Z,Basuki Awali Safari Ramadhan di Kapuk Muara,https://beritajakarta.com/read/3239/Basuki_Awali_Safari_Ramadhan_di_Kapuk_Muara
2014-07-01T00:00:00Z,1899-12-31T10:33:03Z,Polda Kembangkan Robot Lalu Lintas dan Pariwisata,https://beritajakarta.com/read/3240/Polda_Kembangkan_Robot_Lalu_Lintas_dan_Pariwisata
2014-07-01T00:00:00Z,1899-12-31T01:16:10Z,150 Petugas Disiagakan Atasi Lampu Padam,https://beritajakarta.com/read/3243/150_Petugas_Disiagakan_Atasi_Lampu_Padam
2014-07-01T00:00:00Z,1899-12-31T01:58:11Z,Sudin P2K Bentuk Tim Khusus Teliti Laut Jakarta,https://beritajakarta.com/read/3241/Sudin_P2K_Bentuk_Tim_Khusus_Teliti_Laut_Jakarta
2014-07-01T00:00:00Z,1899-12-31T02:23:49Z,Pelayanan Puskesmas Cempaka Putih Barat I Dikeluhkan,https://beritajakarta.com/read/3242/Pelayanan_Puskesmas_Cempaka_Putih_Barat_I_Dikeluhkan
2014-07-01T00:00:00Z,1899-12-31T02:47:31Z,Penertiban Parkir Liar Berlangsung Tegang,https://beritajakarta.com/read/3246/Penertiban_Parkir_Liar_Berlangsung_Tegang
2014-07-01T00:00:00Z,1899-12-31T03:07:56Z,Daging Mengandung Belatung Ditemukan di Jakbar,https://beritajakarta.com/read/3248/Daging_Mengandung_Belatung_Ditemukan_di_Jakbar
2014-07-01T00:00:00Z,1899-12-31T03:35:24Z,"Volume Sampah Naik, TPS Liar Marak di Koja","https://beritajakarta.com/read/3247/Volume_Sampah_Naik,_TPS_Liar_Marak_di_Koja"
2014-07-01T00:00:00Z,1899-12-31T04:08:21Z,"Harga Daging Melonjak, DKI Beri Subsidi Hingga Rp 30 Ribu","https://beritajakarta.com/read/3249/Harga_Daging_Melonjak,_DKI_Beri_Subsidi_Hingga_Rp_30_Ribu"
2014-07-01T00:00:00Z,1899-12-31T04:26:57Z,APBD Perubahan DKI Akan Bertambah Rp 905 Miliar,https://beritajakarta.com/read/3251/APBD_Perubahan_DKI_Akan_Bertambah_Rp_905_Miliar
2014-07-01T00:00:00Z,1899-12-31T04:42:24Z,5 Tersangka Penganiaya Siswa SMAN 3 Ditahan,https://beritajakarta.com/read/3250/5_Tersangka_Penganiaya_Siswa_SMAN_3_Ditahan
2014-07-01T00:00:00Z,1899-12-31T05:07:31Z,Basuki Nilai Kinerja Sejumlah Pejabat Eselon II Lamban,https://beritajakarta.com/read/3252/Basuki_Nilai_Kinerja_Sejumlah_Pejabat_Eselon_II_Lamban
2014-07-01T00:00:00Z,1899-12-31T05:33:51Z,Bappeda Tolak Pengembalian Kegiatan dari SKPD,https://beritajakarta.com/read/3244/Bappeda_Tolak_Pengembalian_Kegiatan_dari_SKPD
2014-07-01T00:00:00Z,1899-12-31T06:05:18Z,Pengemis Mulai Serbu Pemukiman Warga,https://beritajakarta.com/read/3253/Pengemis_Mulai_Serbu_Pemukiman_Warga
2014-07-01T00:00:00Z,1899-12-31T07:13:49Z,Ahok Minta Disdik Tunda Penghapusan Ekskul Pencinta Alam,https://beritajakarta.com/read/3254/Ahok_Minta_Disdik_Tunda_Penghapusan_Ekskul_Pencinta_Alam
2014-07-01T00:00:00Z,1899-12-31T07:43:05Z,30 Kg Tahu Berformalin Diamankan di Jakpus,https://beritajakarta.com/read/3255/30_Kg_Tahu_Berformalin_Diamankan_di_Jakpus
2014-07-01T00:00:00Z,1899-12-31T08:22:35Z,Ahok Tolak Kunker DPRD ke Amerika,https://beritajakarta.com/read/3260/Ahok_Tolak_Kunker_DPRD_ke_Amerika
2014-07-01T00:00:00Z,1899-12-31T08:42:50Z,Kelurahan Minta Dana Taktis 4 Persen dari DPA,https://beritajakarta.com/read/3245/Kelurahan_Minta_Dana_Taktis_4_Persen_dari_DPA
2014-07-01T00:00:00Z,1899-12-31T09:04:01Z,12 Terminal di Ibu Kota Siap Layani Arus Mudik,https://beritajakarta.com/read/3258/12_Terminal_di_Ibu_Kota_Siap_Layani_Arus_Mudik
2014-07-01T00:00:00Z,1899-12-31T10:05:42Z,18 Pengurus KONI DKI Diberhentikan,https://beritajakarta.com/read/3261/18_Pengurus_KONI_DKI_Diberhentikan
2014-07-02T00:00:00Z,1899-12-31T10:28:34Z,Siswa Korban Kebakaran Terima Bantuan Seragam,https://beritajakarta.com/read/3263/Siswa_Korban_Kebakaran_Terima_Bantuan_Seragam
2014-07-02T00:00:00Z,1899-12-31T12:42:17Z,756 Pejabat DKI Wajib Isi LHKPN,https://beritajakarta.com/read/3266/756_Pejabat_DKI_Wajib_Isi_LHKPN
2014-07-02T00:00:00Z,1899-12-31T01:17:15Z,Disdik Jamin Tak Ada Jual Beli Bangku Sekolah,https://beritajakarta.com/read/3264/Disdik_Jamin_Tak_Ada_Jual_Beli_Bangku_Sekolah
2014-07-02T00:00:00Z,1899-12-31T01:35:24Z,Lift Kantor Walikota Jakpus Tak Berfungsi,https://beritajakarta.com/read/3265/Lift_Kantor_Walikota_Jakpus_Tak_Berfungsi
2014-07-02T00:00:00Z,1899-12-31T02:45:19Z,Ribuan Surat Suara di Jaktim Rusak dan Kurang,https://beritajakarta.com/read/3269/Ribuan_Surat_Suara_di_Jaktim_Rusak_dan_Kurang
2014-07-02T00:00:00Z,1899-12-31T03:12:08Z,Uji Coba ERP Dimulai Pertengahan Juli,https://beritajakarta.com/read/3268/Uji_Coba_ERP_Dimulai_Pertengahan_Juli
2014-07-02T00:00:00Z,1899-12-31T03:40:36Z,Jakut Kekurangan 1.100 Personel Damkar,https://beritajakarta.com/read/3270/Jakut_Kekurangan_1.100_Personel_Damkar
2014-07-02T00:00:00Z,1899-12-31T04:15:14Z,"Banyak Jalan Rusak, Ahok Ancam Copot Kadis PU","https://beritajakarta.com/read/3271/Banyak_Jalan_Rusak,_Ahok_Ancam_Copot_Kadis_PU"
2014-07-02T00:00:00Z,1899-12-31T04:30:01Z,Walikota Jakpus Resmikan Bedah Rumah Warga,https://beritajakarta.com/read/3267/Walikota_Jakpus_Resmikan_Bedah_Rumah_Warga
2014-07-02T00:00:00Z,1899-12-31T04:55:14Z,Tersangka Kasus SMAN 3 Dipindahkan ke Rutan Salemba,https://beritajakarta.com/read/3273/Tersangka_Kasus_SMAN_3_Dipindahkan_ke_Rutan_Salemba
2014-07-02T00:00:00Z,1899-12-31T05:05:08Z,"Antisipasi Kemacetan, Dishub Awasi Pasar Tumpah","https://beritajakarta.com/read/3278/Antisipasi_Kemacetan,_Dishub_Awasi_Pasar_Tumpah_"
2014-07-02T00:00:00Z,1899-12-31T05:20:11Z,"Tanpa IMB, Bangunan Usaha Mebel Dibongkar","https://beritajakarta.com/read/3281/Tanpa_IMB,_Bangunan_Usaha_Mebel_Dibongkar_"
2014-07-02T00:00:00Z,1899-12-31T05:40:12Z,Harga Sembako di Sejumlah Pasar Mengalami Kenaikan,https://beritajakarta.com/read/3274/Harga_Sembako_di_Sejumlah_Pasar_Mengalami_Kenaikan
2014-07-02T00:00:00Z,1899-12-31T06:10:56Z,Ahok Tolak ERP dengan Teknologi GPS,https://beritajakarta.com/read/3284/Ahok_Tolak_ERP_dengan_Teknologi_GPS
2014-07-02T00:00:00Z,1899-12-31T06:28:44Z,Jajanan PKL Monas Mengandung Bahan Berbahaya,https://beritajakarta.com/read/3280/Jajanan_PKL_Monas_Mengandung_Bahan_Berbahaya
2014-07-02T00:00:00Z,1899-12-31T06:50:23Z,Pengadaan Alat Olahraga KONI DKI Tunggu Lelang ULP,https://beritajakarta.com/read/3279/Pengadaan_Alat_Olahraga_KONI_DKI_Tunggu_Lelang_ULP_
2014-07-02T00:00:00Z,1899-12-31T07:00:03Z,"2 BUMD DKI Akan Disuntik Modal Rp 4,9 Triliun","https://beritajakarta.com/read/3276/2_BUMD_DKI_Akan_Disuntik_Modal_Rp_4,9_Triliun"
2014-07-02T00:00:00Z,1899-12-31T07:20:40Z,"Wisatawan Melonjak, Kepulauan Seribu Minim Penginapan","https://beritajakarta.com/read/3272/_Wisatawan_Melonjak,_Kepulauan_Seribu_Minim_Penginapan"
2014-07-02T00:00:00Z,1899-12-31T07:40:44Z,DKI Akan Gelar Pasar Murah Usai Pilpres,https://beritajakarta.com/read/3285/DKI_Akan_Gelar_Pasar_Murah_Usai_Pilpres
2014-07-02T00:00:00Z,1899-12-31T08:00:32Z,"Bersihkan Got dan Taman, DKI Bakal Rekrut Ribuan Satgas","https://beritajakarta.com/read/3286/Bersihkan_Got_dan_Taman,_DKI_Bakal_Rekrut_Ribuan_Satgas"
2014-07-02T00:00:00Z,1899-12-31T08:53:49Z,UKP4 Bahas Pembangunan Stadion BMW,https://beritajakarta.com/read/3283/UKP4_Bahas_Pembangunan_Stadion_BMW_
2014-07-02T00:00:00Z,1899-12-31T09:30:32Z,Usulan Dana Taktis Didukung Dewan Kota,https://beritajakarta.com/read/3277/Usulan_Dana_Taktis_Didukung_Dewan_Kota
2014-07-03T00:00:00Z,1899-12-31T10:02:25Z,Sudin Damkar Jakpus Kewalahan Tangani Kebakaran,https://beritajakarta.com/read/3289/Sudin_Damkar_Jakpus_Kewalahan_Tangani_Kebakaran
2014-07-03T00:00:00Z,1899-12-31T10:41:53Z,Bus Transjakarta Tabrak Median Jalan,https://beritajakarta.com/read/3290/Bus_Transjakarta_Tabrak_Median_Jalan
2014-07-03T00:00:00Z,1899-12-31T11:17:05Z,43 Rumah Kampung Deret Belum Dialiri Listrik,https://beritajakarta.com/read/3291/43_Rumah_Kampung_Deret_Belum_Dialiri_Listrik
2014-07-03T00:00:00Z,1899-12-31T01:18:40Z,Kakek Terkapar Ditabrak KA Taksaka,https://beritajakarta.com/read/3293/Kakek_Terkapar_Ditabrak_KA_Taksaka
2014-07-03T00:00:00Z,1899-12-31T01:35:06Z,Pergub Penyatuan Monas Rampung Akhir Juli,https://beritajakarta.com/read/3292/Pergub_Penyatuan_Monas_Rampung_Akhir_Juli
